nameAR,nameFR,wilayaCode,wilayaNameAR,wilayaNameFR,cityNameAR,cityNameFR,rating,recommended,category,descriptionAR,descriptionFR,descriptionEN,phone,email,location_link,facebook_link,instagram_link,tiktok_link,created_at,updated_at
خيمة الحاج احسن,Khaymat El Hadj Ahcene,NULL,NULL,NULL,NULL,NULL,4.5,false,2,NULL,NULL,NULL,NULL,NULL,https://maps.app.goo.gl/27JTnaHQgnuLQHTx9,NULL,NULL,NULL,NULL,NULL
خيمة دار لميمة للمأكولات التقليدية,Khaymat Dar L'mima,NULL,NULL,NULL,NULL,NULL,4.5,false,2,NULL,NULL,NULL,NULL,NULL,https://maps.app.goo.gl/2WKPUcJxo3je9TcU9,NULL,NULL,NULL,NULL,NULL
خيمة المذاق للأكل التقليدي,Khaymat El Mazak,31,وهران,Oran,بئر الجير,Bir El Djir,4.5,false,2,NULL,NULL,NULL,NULL,NULL,https://maps.app.goo.gl/un6HCSeVF2zc2WSR6,NULL,NULL,NULL,NULL,NULL
خيمة العطف للمأكولات التقليدية,Khaymat El Atef,31,وهران,Oran,السانية,Es Senia,4.5,false,2,NULL,NULL,NULL,NULL,NULL,https://maps.app.goo.gl/8UA3cKX6tTFjCAE18,NULL,NULL,NULL,NULL,NULL
خيمة الناقة,Khaymat Ennaga,16,الجزائر,Alger,الكاليتوس,Les Eucalyptus,4.5,false,2,NULL,NULL,NULL,NULL,NULL,https://maps.app.goo.gl/XA1Rvqmo75xkSXMM8,NULL,NULL,NULL,NULL,NULL
خيمة الميناما,Khaymat El Minama,NULL,NULL,NULL,NULL,NULL,4.5,false,2,NULL,NULL,NULL,NULL,NULL,https://maps.app.goo.gl/PLrbSfN4dohQzmJSA,NULL,NULL,NULL,NULL,NULL
خيمة لمسيلي للمأكولات التقليدية,Khaymat El M'sili,04,أم البواقي,Oum El Bouaghi,NULL,NULL,4.5,false,2,NULL,NULL,NULL,NULL,NULL,https://maps.app.goo.gl/GCHiGoPiFtbL9A6S8,NULL,NULL,NULL,NULL,NULL
خيمة لمسيلي للمأكولات التقليدية,Khaymat El M'sili,25,قسنطينة,Constantine,الخروب,El Khroub,4.5,false,2,NULL,NULL,NULL,NULL,NULL,https://maps.app.goo.gl/2Yp9Z13Ma7epcDHg7,NULL,NULL,NULL,NULL,NULL
خيمة لمسيلي للمأكولات التقليدية,Khaymat El M'sili,41,سوق أهراس,Souk Ahras,NULL,NULL,4.5,false,2,NULL,NULL,NULL,NULL,NULL,https://maps.app.goo.gl/Zp1R9Bs7w25wpVHx8,NULL,NULL,NULL,NULL,NULL
خيمة معتز,Khaymat Moataz,NULL,NULL,NULL,NULL,NULL,4.5,false,2,NULL,NULL,NULL,NULL,NULL,https://maps.app.goo.gl/ntF7GbSurssEmiGd6,NULL,NULL,NULL,NULL,NULL
الخيمة البسكرية,El Khayma El Biskria,NULL,NULL,NULL,NULL,NULL,4.5,false,2,NULL,NULL,NULL,NULL,NULL,https://maps.app.goo.gl/5TssCswdK99wQUSr6,NULL,NULL,NULL,NULL,NULL
خيمة المايسترو,Khaymat El Maestro,NULL,NULL,NULL,NULL,NULL,4.5,false,2,NULL,NULL,NULL,NULL,NULL,https://maps.app.goo.gl/kf7xJQEf5gUh7p918,NULL,NULL,NULL,NULL,NULL
خيمة حضنة للمأكولات التقليدية,Khaymat Hodna,10,البويرة,Bouira,سور الغزلان,Sour El Ghozlane,4.5,false,2,NULL,NULL,NULL,NULL,NULL,https://maps.app.goo.gl/nU33duhyHqL8dfyu5,NULL,NULL,NULL,NULL,NULL
خيمة الاحباب للمأكولات التقليدية,Khaymat El Ahbab,28,المسيلة,M'Sila,أولاد سيدي إبراهيم,Ouled Sidi Brahim,4.5,false,2,NULL,NULL,NULL,NULL,NULL,https://maps.app.goo.gl/YdJJEfUmpHvTmMeL6,NULL,NULL,NULL,NULL,NULL
خيمة الفوارة للمأكولات التقليدية,Khaymat El Fouara,28,المسيلة,M'Sila,سيدي عامر,Sidi Ameur,4.5,false,2,NULL,NULL,NULL,NULL,NULL,https://maps.app.goo.gl/VekEAzsYXrC3Wzgc6,NULL,NULL,NULL,NULL,NULL
خيمة الحركاتي للامأكولات التقليدية والعصرية,Khaymat El Harkati,04,أم البواقي,Oum El Bouaghi,عين البيضاء,Ain Beida,4.5,false,2,NULL,NULL,NULL,NULL,NULL,https://maps.app.goo.gl/S8WRpB5GaJSeBYS37,NULL,NULL,NULL,NULL,NULL
محل النخلة للأكلات التقليدية,Mahal Ennakhla,NULL,NULL,NULL,NULL,NULL,4.5,false,2,NULL,NULL,NULL,NULL,NULL,https://maps.app.goo.gl/Xqw8qYJ3YPKWwi6i7,NULL,NULL,NULL,NULL,NULL
الخيمة,El Khayma,04,أم البواقي,Oum El Bouaghi,عين البيضاء,Ain Beida,4.5,false,5,للشاي,Pour le thé,NULL,NULL,NULL,https://maps.app.goo.gl/R5pXtZWzoF7wYZNz9,NULL,NULL,NULL,NULL,NULL
مطعم التقليدي شاوي,Restaurant Traditionnel Chaoui,NULL,NULL,NULL,NULL,NULL,4.5,false,2,NULL,NULL,NULL,NULL,NULL,https://maps.app.goo.gl/jy2X2jYwMmjra3Tz8,NULL,NULL,NULL,NULL,NULL
